subject,body,label
Confirmation due the deadline,"The document includes suggested changes and next steps. Let me know if you have any questions about
the plan. I scheduled a short meeting to review progress. I scheduled a short meeting to review
progress. I scheduled a short meeting to review progress.",normal
Meeting about the your feedback,"I wanted to share a brief update on the current status.  Please find the attached notes from our
last call. We completed the first phase and are moving forward.  I scheduled a short meeting to
review progress.",normal
Deadline approaching,"Please prioritize this action and confirm once done. Escalate this to management if you cannot
resolve it by end of day.",high_priority
Notes about invoice,"We completed the first phase and are moving forward. Please find the attached notes from our last
call.  Let me know if you have any questions about the plan. Let me know if you have any questions
about the plan.",normal
Question about the invoice,"The document includes suggested changes and next steps. I will follow up with the team later this
week. Thanks for your input on this matter. I scheduled a short meeting to review progress. Thanks
for your input on this matter.",normal
Claim your prize for you,"Claim your free gift card by entering your details. Earn money from home with this simple trick. We
noticed unusual activity — reset your password now. Congratulations! You have been selected to claim
your prize.",spam
Claim your prize for you,"Verify your payment information immediately to prevent suspension. Please provide your login details
to avoid service interruption. Earn money from home with this simple trick.",spam
Act now today,Earn money from home with this simple trick. You are pre-approved for a special loan offer today.,spam
Escalation: response needed,"Escalate this to management if you cannot resolve it by end of day. Please prioritize this action
and confirm once done. This task impacts the launch date and cannot be delayed.",high_priority
Notes for the quarterly plan,"I scheduled a short meeting to review progress. I scheduled a short meeting to review progress.  I
wanted to share a brief update on the current status.  I will follow up with the team later this
week.",normal
Status about the quarterly plan,"I scheduled a short meeting to review progress. We completed the first phase and are moving forward.
Please find the attached notes from our last call.",normal
Claim your prize today,"You are pre-approved for a special loan offer today. Verify your payment information immediately to
prevent suspension. You are pre-approved for a special loan offer today.",spam
Escalation: response needed,"Payment is overdue — please process the invoice immediately. Escalate this to management if you
cannot resolve it by end of day.",high_priority
Payment overdue,"This requires your immediate attention and a response today. This requires your immediate attention
and a response today. Payment is overdue — please process the invoice immediately. Please prioritize
this action and confirm once done.",high_priority
Invitation about the team assignments,"We completed the first phase and are moving forward. We completed the first phase and are moving
forward.  Please find the attached notes from our last call. The document includes suggested changes
and next steps. Please find the attached notes from our last call.",normal
Payment overdue,"Please prioritize this action and confirm once done. Please prioritize this action and confirm once
done. This task impacts the launch date and cannot be delayed. Deadline is tomorrow and the
deliverable must be signed off. Please prioritize this action and confirm once done.",high_priority
Confirmation about the deliverables,"I will follow up with the team later this week.  We completed the first phase and are moving
forward. Let me know if you have any questions about the plan.",normal
Invitation regarding the report,"Let me know if you have any questions about the plan. Thanks for your input on this matter.  I
wanted to share a brief update on the current status.",normal
Question regarding the quarterly plan,"I will follow up with the team later this week. The document includes suggested changes and next
steps.",normal
Follow-up about the deadline,Thanks for your input on this matter. I will follow up with the team later this week.,normal
Report about the project timeline,"Please find the attached notes from our last call.  We completed the first phase and are moving
forward. The document includes suggested changes and next steps. We completed the first phase and
are moving forward. This is a quick heads-up on the timeline change.",normal
Action for team assignments,"Please find the attached notes from our last call. Thanks for your input on this matter.  The
document includes suggested changes and next steps.  I wanted to share a brief update on the current
status.  Please find the attached notes from our last call.",normal
Status due next steps,I will follow up with the team later this week.  Please find the attached notes from our last call.,normal
You won — limited time,"We noticed unusual activity — reset your password now. Your account will be locked unless you
confirm your credentials. Limited time offer — act now to receive an exclusive discount. Limited
time offer — act now to receive an exclusive discount. Verify your payment information immediately
to prevent suspension.",spam
Limited offer for you,"Your account will be locked unless you confirm your credentials. Congratulations! You have been
selected to claim your prize. Congratulations! You have been selected to claim your prize.",spam
Invitation for the quarterly plan,"We completed the first phase and are moving forward. Let me know if you have any questions about the
plan. I wanted to share a brief update on the current status.",normal
Act now while supplies last,"You are pre-approved for a special loan offer today. This is not a scam — instant approval with no
credit check.",spam
Urgent: action required,"This requires your immediate attention and a response today. Payment is overdue — please process the
invoice immediately. We need the final figures to complete the audit by Friday. This task impacts
the launch date and cannot be delayed.",high_priority
Request for the budget,"Please find the attached notes from our last call.  I will follow up with the team later this week.
Let me know if you have any questions about the plan.",normal
Follow-up about the project timeline,"Let me know if you have any questions about the plan. Thanks for your input on this matter. The
document includes suggested changes and next steps.",normal
Escalation: response needed,"Escalate this to management if you cannot resolve it by end of day. This task impacts the launch
date and cannot be delayed. This task impacts the launch date and cannot be delayed. We need the
final figures to complete the audit by Friday.",high_priority
Special Promotion now,"Limited time offer — act now to receive an exclusive discount. We noticed unusual activity — reset
your password now. Claim your free gift card by entering your details.",spam
Update about your feedback,"This is a quick heads-up on the timeline change.  Let me know if you have any questions about the
plan.",normal
Exclusive deal while supplies last,"Earn money from home with this simple trick. Claim your free gift card by entering your details.
Earn money from home with this simple trick. Your account will be locked unless you confirm your
credentials.",spam
Confirmation due team assignments,"The document includes suggested changes and next steps. I scheduled a short meeting to review
progress.",normal
Action for the deadline,"I wanted to share a brief update on the current status.  Please find the attached notes from our
last call. Please find the attached notes from our last call.",normal
Status about your feedback,This is a quick heads-up on the timeline change.  I scheduled a short meeting to review progress.,normal
Meeting for the budget,"Let me know if you have any questions about the plan. We completed the first phase and are moving
forward.",normal
Special Promotion for you,Earn money from home with this simple trick. We noticed unusual activity — reset your password now.,spam
Payment overdue,"This task impacts the launch date and cannot be delayed. Escalate this to management if you cannot
resolve it by end of day. This task impacts the launch date and cannot be delayed. Payment is
overdue — please process the invoice immediately.",high_priority
Request about the the budget,"The document includes suggested changes and next steps. The document includes suggested changes and
next steps. I scheduled a short meeting to review progress.  I wanted to share a brief update on the
current status.  This is a quick heads-up on the timeline change.",normal
Exclusive deal — limited time,"Please provide your login details to avoid service interruption. Congratulations! You have been
selected to claim your prize. Click the link below to verify your account and unlock rewards. You
are pre-approved for a special loan offer today. This is not a scam — instant approval with no
credit check.",spam
Report regarding deliverables,"The document includes suggested changes and next steps. I scheduled a short meeting to review
progress. Let me know if you have any questions about the plan.  I scheduled a short meeting to
review progress.",normal
Status for the quarterly plan,"Let me know if you have any questions about the plan. We completed the first phase and are moving
forward. Please find the attached notes from our last call.",normal
Notes on deliverables,"Please find the attached notes from our last call. I scheduled a short meeting to review progress. I
will follow up with the team later this week. Thanks for your input on this matter.",normal
Critical update required,"Please prioritize this action and confirm once done. This requires your immediate attention and a
response today.",high_priority
Reminder regarding your feedback,"I scheduled a short meeting to review progress. The document includes suggested changes and next
steps.  Thanks for your input on this matter.  I scheduled a short meeting to review progress.",normal
Reminder for invoice,"I scheduled a short meeting to review progress. Let me know if you have any questions about the
plan. Please find the attached notes from our last call. I wanted to share a brief update on the
current status.",normal
Payment overdue,"Please prioritize this action and confirm once done. Escalate this to management if you cannot
resolve it by end of day.",high_priority
Status regarding the deadline,"We completed the first phase and are moving forward. Please find the attached notes from our last
call. This is a quick heads-up on the timeline change.",normal
Confirmation for deliverables,"I will follow up with the team later this week.  I will follow up with the team later this week. I
scheduled a short meeting to review progress. Thanks for your input on this matter.",normal
Update regarding deliverables,"Please find the attached notes from our last call.  I will follow up with the team later this week.
We completed the first phase and are moving forward. The document includes suggested changes and
next steps.  The document includes suggested changes and next steps.",normal
Update on the report,"This is a quick heads-up on the timeline change. The document includes suggested changes and next
steps.  This is a quick heads-up on the timeline change.",normal
Action regarding deliverables,"The document includes suggested changes and next steps. Thanks for your input on this matter.
Please find the attached notes from our last call.  The document includes suggested changes and next
steps. I will follow up with the team later this week.",normal
Escalation: response needed,"We need the final figures to complete the audit by Friday. We need the final figures to complete the
audit by Friday. Payment is overdue — please process the invoice immediately.",high_priority
You won while supplies last,"Click the link below to verify your account and unlock rewards. Lowest prices guaranteed — buy now
before stock runs out. Your account will be locked unless you confirm your credentials.",spam
Act now for you,"This is not a scam — instant approval with no credit check. Limited time offer — act now to receive
an exclusive discount. Earn money from home with this simple trick.",spam
You won today,"Your account will be locked unless you confirm your credentials. You are pre-approved for a special
loan offer today. Claim your free gift card by entering your details. Claim your free gift card by
entering your details. Earn money from home with this simple trick.",spam
Summary regarding the quarterly plan,"We completed the first phase and are moving forward. I wanted to share a brief update on the current
status. Please find the attached notes from our last call. I scheduled a short meeting to review
progress.",normal
Request about the quarterly plan,"The document includes suggested changes and next steps. I will follow up with the team later this
week. Thanks for your input on this matter.",normal
Act now — limited time,"Congratulations! You have been selected to claim your prize. Your account will be locked unless you
confirm your credentials. Congratulations! You have been selected to claim your prize. Limited time
offer — act now to receive an exclusive discount.",spam
Deadline approaching,"We need the final figures to complete the audit by Friday. Payment is overdue — please process the
invoice immediately. This task impacts the launch date and cannot be delayed.",high_priority
Proposal for next steps,"I scheduled a short meeting to review progress. Please find the attached notes from our last call. I
scheduled a short meeting to review progress. I will follow up with the team later this week.  I
scheduled a short meeting to review progress.",normal
Claim your prize while supplies last,"We noticed unusual activity — reset your password now. Limited time offer — act now to receive an
exclusive discount.",spam
Special Promotion for you,"This is not a scam — instant approval with no credit check. You are pre-approved for a special loan
offer today. Congratulations! You have been selected to claim your prize.",spam
Schedule for deliverables,"The document includes suggested changes and next steps. This is a quick heads-up on the timeline
change.",normal
Summary for the budget,"This is a quick heads-up on the timeline change. We completed the first phase and are moving
forward.",normal
Immediate attention needed,"Payment is overdue — please process the invoice immediately. Please prioritize this action and
confirm once done. This requires your immediate attention and a response today. This task impacts
the launch date and cannot be delayed. Payment is overdue — please process the invoice immediately.",high_priority
Deadline approaching,"We need the final figures to complete the audit by Friday. Escalate this to management if you cannot
resolve it by end of day. Payment is overdue — please process the invoice immediately.",high_priority
Status regarding the deadline,"Thanks for your input on this matter. Thanks for your input on this matter. I scheduled a short
meeting to review progress.",normal
Exclusive deal while supplies last,"We noticed unusual activity — reset your password now. Limited time offer — act now to receive an
exclusive discount.",spam
Status for team assignments,"I will follow up with the team later this week.  I will follow up with the team later this week. The
document includes suggested changes and next steps. Let me know if you have any questions about the
plan.",normal
Immediate attention needed,"Escalate this to management if you cannot resolve it by end of day. This task impacts the launch
date and cannot be delayed. Escalate this to management if you cannot resolve it by end of day. We
need the final figures to complete the audit by Friday. Please prioritize this action and confirm
once done.",high_priority
Follow-up on invoice,"I wanted to share a brief update on the current status. The document includes suggested changes and
next steps.  I wanted to share a brief update on the current status.",normal
Summary due the budget,Thanks for your input on this matter.  I will follow up with the team later this week.,normal
Notes due the budget,"Thanks for your input on this matter. Thanks for your input on this matter.  I scheduled a short
meeting to review progress.",normal
Immediate attention needed,"Escalate this to management if you cannot resolve it by end of day. Escalate this to management if
you cannot resolve it by end of day.",high_priority
Proposal about the team assignments,"Let me know if you have any questions about the plan. This is a quick heads-up on the timeline
change. Please find the attached notes from our last call. I will follow up with the team later this
week.",normal
Critical update required,"Deadline is tomorrow and the deliverable must be signed off. We need the final figures to complete
the audit by Friday.",high_priority
You won while supplies last,"Claim your free gift card by entering your details. Claim your free gift card by entering your
details. Earn money from home with this simple trick.",spam
Urgent: action required,"We need the final figures to complete the audit by Friday. Deadline is tomorrow and the deliverable
must be signed off. Escalate this to management if you cannot resolve it by end of day. This task
impacts the launch date and cannot be delayed.",high_priority
Limited offer while supplies last,"Click the link below to verify your account and unlock rewards. This is not a scam — instant
approval with no credit check.",spam
You won today,"Claim your free gift card by entering your details. Congratulations! You have been selected to claim
your prize.",spam
Critical update required,"Deadline is tomorrow and the deliverable must be signed off. Deadline is tomorrow and the
deliverable must be signed off. Escalate this to management if you cannot resolve it by end of day.
Please prioritize this action and confirm once done.",high_priority
Report regarding project timeline,"I wanted to share a brief update on the current status. We completed the first phase and are moving
forward.",normal
Notes regarding invoice,"We completed the first phase and are moving forward. Let me know if you have any questions about the
plan. This is a quick heads-up on the timeline change. We completed the first phase and are moving
forward.",normal
Invitation for team assignments,This is a quick heads-up on the timeline change.  Thanks for your input on this matter.,normal
Proposal due your feedback,"Please find the attached notes from our last call. I wanted to share a brief update on the current
status. I will follow up with the team later this week.",normal
Immediate attention needed,"Deadline is tomorrow and the deliverable must be signed off. Escalate this to management if you
cannot resolve it by end of day. Escalate this to management if you cannot resolve it by end of day.
This task impacts the launch date and cannot be delayed. Escalate this to management if you cannot
resolve it by end of day.",high_priority
Escalation: response needed,"Deadline is tomorrow and the deliverable must be signed off. This task impacts the launch date and
cannot be delayed. We need the final figures to complete the audit by Friday.",high_priority
Limited offer for you,"This is not a scam — instant approval with no credit check. Earn money from home with this simple
trick. Claim your free gift card by entering your details.",spam
Critical update required,"Please prioritize this action and confirm once done. Deadline is tomorrow and the deliverable must
be signed off. Deadline is tomorrow and the deliverable must be signed off.",high_priority
Proposal about the the budget,"Thanks for your input on this matter. I wanted to share a brief update on the current status. The
document includes suggested changes and next steps. I will follow up with the team later this week.",normal
Reminder due the deadline,"We completed the first phase and are moving forward. The document includes suggested changes and
next steps.",normal
Limited offer — limited time,"Earn money from home with this simple trick. Lowest prices guaranteed — buy now before stock runs
out.",spam
Deadline approaching,"Escalate this to management if you cannot resolve it by end of day. Deadline is tomorrow and the
deliverable must be signed off.",high_priority
Follow-up on the quarterly plan,This is a quick heads-up on the timeline change.  Thanks for your input on this matter.,normal
Reminder for invoice,"Please find the attached notes from our last call. The document includes suggested changes and next
steps.  I will follow up with the team later this week. Let me know if you have any questions about
the plan.",normal
Special Promotion now,"Click the link below to verify your account and unlock rewards. Verify your payment information
immediately to prevent suspension. Congratulations! You have been selected to claim your prize. You
are pre-approved for a special loan offer today.",spam
Proposal about your feedback,"I wanted to share a brief update on the current status. Please find the attached notes from our last
call. I scheduled a short meeting to review progress.  I wanted to share a brief update on the
current status. This is a quick heads-up on the timeline change.",normal
Special Promotion for you,"Earn money from home with this simple trick. Verify your payment information immediately to prevent
suspension. Earn money from home with this simple trick.",spam
Urgent: action required,"Escalate this to management if you cannot resolve it by end of day. Payment is overdue — please
process the invoice immediately. Escalate this to management if you cannot resolve it by end of day.
Payment is overdue — please process the invoice immediately.",high_priority
Report about the the deadline,"Please find the attached notes from our last call. The document includes suggested changes and next
steps.  Thanks for your input on this matter. I will follow up with the team later this week. The
document includes suggested changes and next steps.",normal
Urgent: action required,"Payment is overdue — please process the invoice immediately. This requires your immediate attention
and a response today.",high_priority
Act now for you,"Lowest prices guaranteed — buy now before stock runs out. Claim your free gift card by entering your
details.",spam
Special Promotion for you,"Lowest prices guaranteed — buy now before stock runs out. This is not a scam — instant approval with
no credit check. Verify your payment information immediately to prevent suspension. Click the link
below to verify your account and unlock rewards. We noticed unusual activity — reset your password
now.",spam
Question for your feedback,I will follow up with the team later this week. This is a quick heads-up on the timeline change.,normal
Follow-up about the the quarterly plan,"Let me know if you have any questions about the plan. Please find the attached notes from our last
call. Please find the attached notes from our last call.  Let me know if you have any questions
about the plan.  I scheduled a short meeting to review progress.",normal
Exclusive deal while supplies last,"Earn money from home with this simple trick. Congratulations! You have been selected to claim your
prize. Click the link below to verify your account and unlock rewards.",spam
Follow-up about the your feedback,"We completed the first phase and are moving forward.  The document includes suggested changes and
next steps. This is a quick heads-up on the timeline change. I will follow up with the team later
this week. I will follow up with the team later this week.",normal
Act now for you,"You are pre-approved for a special loan offer today. Lowest prices guaranteed — buy now before stock
runs out. Claim your free gift card by entering your details. Congratulations! You have been
selected to claim your prize. Congratulations! You have been selected to claim your prize.",spam
Notes on next steps,"Please find the attached notes from our last call.  Please find the attached notes from our last
call.",normal
Summary about the report,"Thanks for your input on this matter.  We completed the first phase and are moving forward. The
document includes suggested changes and next steps. The document includes suggested changes and next
steps.",normal
Limited offer for you,"Your account will be locked unless you confirm your credentials. Your account will be locked unless
you confirm your credentials.",spam
Act now while supplies last,"Your account will be locked unless you confirm your credentials. Claim your free gift card by
entering your details. This is not a scam — instant approval with no credit check. Verify your
payment information immediately to prevent suspension.",spam
Immediate attention needed,"Escalate this to management if you cannot resolve it by end of day. Payment is overdue — please
process the invoice immediately. This task impacts the launch date and cannot be delayed. This
requires your immediate attention and a response today.",high_priority
Update about team assignments,Thanks for your input on this matter. Thanks for your input on this matter.,normal
Schedule for team assignments,"This is a quick heads-up on the timeline change.  Thanks for your input on this matter. I wanted to
share a brief update on the current status.",normal
Request for invoice,"The document includes suggested changes and next steps. I will follow up with the team later this
week. This is a quick heads-up on the timeline change. The document includes suggested changes and
next steps. I wanted to share a brief update on the current status.",normal
Special Promotion while supplies last,"We noticed unusual activity — reset your password now. Lowest prices guaranteed — buy now before
stock runs out. Earn money from home with this simple trick.",spam
Deadline approaching,"Escalate this to management if you cannot resolve it by end of day. This task impacts the launch
date and cannot be delayed. Escalate this to management if you cannot resolve it by end of day.",high_priority
Status for next steps,Thanks for your input on this matter. Thanks for your input on this matter.,normal
Reminder on the deadline,"Please find the attached notes from our last call. Please find the attached notes from our last
call.",normal
Schedule due next steps,"Thanks for your input on this matter. The document includes suggested changes and next steps. Thanks
for your input on this matter. Thanks for your input on this matter.",normal
Act now for you,"Please provide your login details to avoid service interruption. Claim your free gift card by
entering your details. This is not a scam — instant approval with no credit check. Lowest prices
guaranteed — buy now before stock runs out.",spam
Immediate attention needed,"Payment is overdue — please process the invoice immediately. Please prioritize this action and
confirm once done.",high_priority
Limited offer — limited time,"Your account will be locked unless you confirm your credentials. This is not a scam — instant
approval with no credit check. We noticed unusual activity — reset your password now. This is not a
scam — instant approval with no credit check.",spam
Action about the project timeline,"I wanted to share a brief update on the current status.  Let me know if you have any questions about
the plan.  Thanks for your input on this matter. Thanks for your input on this matter.",normal
Action regarding your feedback,"Thanks for your input on this matter. The document includes suggested changes and next steps. Please
find the attached notes from our last call. The document includes suggested changes and next steps.
The document includes suggested changes and next steps.",normal
Question for the quarterly plan,"Thanks for your input on this matter.  Thanks for your input on this matter.  I scheduled a short
meeting to review progress.",normal
Limited offer now,"Congratulations! You have been selected to claim your prize. Claim your free gift card by entering
your details. This is not a scam — instant approval with no credit check.",spam
Proposal about team assignments,"We completed the first phase and are moving forward. We completed the first phase and are moving
forward.  This is a quick heads-up on the timeline change.  Please find the attached notes from our
last call. I wanted to share a brief update on the current status.",normal
Immediate attention needed,"Payment is overdue — please process the invoice immediately. Please prioritize this action and
confirm once done.",high_priority
Exclusive deal today,"Congratulations! You have been selected to claim your prize. Claim your free gift card by entering
your details. Verify your payment information immediately to prevent suspension. Your account will
be locked unless you confirm your credentials.",spam
Schedule about the budget,"This is a quick heads-up on the timeline change. I scheduled a short meeting to review progress. We
completed the first phase and are moving forward.  I scheduled a short meeting to review progress.
We completed the first phase and are moving forward.",normal
Act now while supplies last,"Congratulations! You have been selected to claim your prize. Congratulations! You have been selected
to claim your prize. Congratulations! You have been selected to claim your prize. Limited time offer
— act now to receive an exclusive discount.",spam
Special Promotion while supplies last,"You are pre-approved for a special loan offer today. This is not a scam — instant approval with no
credit check.",spam
Invitation about the quarterly plan,"Thanks for your input on this matter. Let me know if you have any questions about the plan. Thanks
for your input on this matter. I wanted to share a brief update on the current status.  This is a
quick heads-up on the timeline change.",normal
Status on the quarterly plan,"Thanks for your input on this matter. I wanted to share a brief update on the current status. I
wanted to share a brief update on the current status. This is a quick heads-up on the timeline
change. I scheduled a short meeting to review progress.",normal
Escalation: response needed,"Please prioritize this action and confirm once done. This requires your immediate attention and a
response today. We need the final figures to complete the audit by Friday. We need the final figures
to complete the audit by Friday. Please prioritize this action and confirm once done.",high_priority
Question about team assignments,"Please find the attached notes from our last call. Let me know if you have any questions about the
plan.",normal
Question about deliverables,"I will follow up with the team later this week. I will follow up with the team later this week. The
document includes suggested changes and next steps. I scheduled a short meeting to review progress.",normal
Report about the the report,"I wanted to share a brief update on the current status.  The document includes suggested changes and
next steps.  The document includes suggested changes and next steps. Let me know if you have any
questions about the plan. Please find the attached notes from our last call.",normal
Meeting due the report,"Let me know if you have any questions about the plan.  We completed the first phase and are moving
forward.",normal
Schedule on next steps,"We completed the first phase and are moving forward. The document includes suggested changes and
next steps. We completed the first phase and are moving forward.  The document includes suggested
changes and next steps.",normal
You won while supplies last,"We noticed unusual activity — reset your password now. Verify your payment information immediately
to prevent suspension. Please provide your login details to avoid service interruption.",spam
Meeting about the the report,Thanks for your input on this matter. I scheduled a short meeting to review progress.,normal
Confirmation on the budget,"Please find the attached notes from our last call.  I wanted to share a brief update on the current
status.",normal
Claim your prize — limited time,"Earn money from home with this simple trick. Your account will be locked unless you confirm your
credentials.",spam
Report about the invoice,"The document includes suggested changes and next steps. I will follow up with the team later this
week. Please find the attached notes from our last call.  The document includes suggested changes
and next steps.",normal
